Date,DailyPnL,CumulativePnL,Equity
2026-01-01,-78.43,-78.43,79921.57
2026-01-02,-89.63,-168.05,79831.95
2026-01-05,0.00,-168.05,79831.95
2026-01-06,-120.93,-288.98,79711.02
2026-01-07,0.00,-288.98,79711.02
2026-01-08,129.86,-159.12,79840.88
2026-01-09,0.00,-159.12,79840.88
2026-01-12,0.00,-159.12,79840.88
2026-01-13,0.00,-159.12,79840.88
2026-01-14,0.00,-159.12,79840.88
2026-01-16,-113.42,-272.54,79727.46
2026-01-19,0.00,-272.54,79727.46
2026-01-20,-157.85,-430.39,79569.61
2026-01-21,0.00,-430.39,79569.61
2026-01-22,0.00,-430.39,79569.61
2026-01-23,0.00,-430.39,79569.61
2026-01-28,117.90,-312.49,79687.51
2026-01-29,-85.48,-397.96,79602.04
2026-01-30,0.00,-397.96,79602.04
2026-02-01,-51.13,-449.10,79550.90
2026-02-02,0.00,-449.10,79550.90
2026-02-03,0.00,-449.10,79550.90
2026-02-04,388.20,-60.90,79939.10
2026-02-05,-210.53,-271.42,79728.58
2026-02-06,-116.53,-387.96,79612.04
2026-02-09,0.00,-387.96,79612.04
2026-02-10,264.70,-123.26,79876.74
2026-02-11,621.63,498.37,80498.37
2026-02-12,195.47,693.84,80693.84
2026-02-13,217.50,911.35,80911.35
2026-02-16,353.05,1264.40,81264.40
2026-02-17,212.00,1476.40,81476.40
2026-02-18,0.00,1476.40,81476.40
2026-02-19,-357.89,1118.51,81118.51
2026-02-20,-52.97,1065.54,81065.54
2026-02-24,-125.39,940.16,80940.16
2026-02-25,-315.27,624.89,80624.89
2026-02-26,125.38,750.27,80750.27
2026-02-27,0.00,750.27,80750.27
2026-03-02,0.00,750.27,80750.27
