Date,Symbol,Side,EntryPrice,SLPrice,Qty,PnL,GapPct,OpenBias,ExitReason,Duration
2024-06-05,HDFCBANK,SELL,743.10,748.92,45,-261.79,-0.60,NEUTRAL,STOPLOSS,10min
2024-06-05,ITC,BUY,359.80,357.54,94,549.10,0.51,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,45min
2024-06-07,TCS,BUY,3889.90,3867.61,8,-10.80,0.03,LONG,EOD_AUTO_EXIT,335min
2024-06-12,HDFCBANK,BUY,789.40,786.58,43,57.60,0.88,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,155min
2024-06-13,TCS,BUY,3879.05,3864.62,8,-115.41,0.52,NEUTRAL,STOPLOSS,225min
2024-06-19,HDFCBANK,BUY,810.50,808.52,41,-81.02,0.34,NEUTRAL,STOPLOSS,5min
2024-06-19,ICICIBANK,BUY,1141.95,1136.09,29,-170.05,0.20,LONG,STOPLOSS,60min
2024-06-24,TCS,BUY,3853.05,3833.96,8,-152.76,0.12,NEUTRAL,STOPLOSS,185min
2024-06-25,TCS,SELL,3802.25,3809.90,8,-61.16,0.05,NEUTRAL,STOPLOSS,15min
2024-07-04,TCS,BUY,4027.70,4012.94,8,48.00,0.80,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,70min
2024-07-08,ITC,BUY,370.25,368.70,91,80.00,0.37,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,80min
2024-07-11,ITC,BUY,383.10,381.80,88,-114.06,-0.07,NEUTRAL,STOPLOSS,5min
2024-07-12,HDFCBANK,SELL,806.10,809.54,42,-144.63,-0.10,NEUTRAL,STOPLOSS,40min
2024-07-15,ITC,BUY,390.55,388.98,87,231.84,0.00,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,280min
2024-07-16,ICICIBANK,BUY,1241.10,1235.95,27,-138.95,-0.08,LONG,STOPLOSS,15min
2024-07-16,ITC,BUY,394.80,393.34,86,-125.86,0.27,NEUTRAL,STOPLOSS,20min
2024-07-23,ITC,BUY,399.00,398.47,85,-44.82,0.05,LONG,STOPLOSS,5min
2024-08-06,TCS,BUY,4243.15,4217.23,8,-207.34,0.26,LONG,STOPLOSS,25min
2024-08-09,HDFCBANK,BUY,830.70,827.83,40,-114.80,0.72,NEUTRAL,STOPLOSS,15min
2024-08-14,TCS,BUY,4278.55,4223.42,7,101.15,0.29,NEUTRAL,EOD_AUTO_EXIT,315min
2024-08-16,ITC,BUY,420.70,419.62,80,-86.31,0.40,NEUTRAL,STOPLOSS,35min
2024-08-19,ITC,BUY,430.60,429.05,78,-120.90,0.54,LONG,STOPLOSS,20min
2024-08-23,ITC,SELL,423.95,426.55,80,-208.00,0.00,NEUTRAL,STOPLOSS,65min
2024-08-23,TCS,SELL,4478.50,4487.23,7,29.10,-0.04,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,30min
2024-08-26,ICICIBANK,BUY,1209.75,1207.34,28,30.00,0.09,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,135min
2024-08-26,TCS,BUY,4546.00,4522.00,7,-167.99,0.48,LONG,STOPLOSS,55min
2024-08-28,ITC,SELL,422.45,424.08,80,-88.00,0.00,NEUTRAL,EOD_AUTO_EXIT,295min
2024-09-02,ITC,BUY,433.85,430.85,78,-234.00,0.00,LONG,STOPLOSS,115min
2024-09-02,TCS,SELL,4557.85,4568.59,7,83.66,0.29,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,80min
2024-09-03,ITC,BUY,436.85,434.05,77,-215.60,0.05,NEUTRAL,STOPLOSS,45min
2024-09-09,ITC,BUY,428.10,426.32,79,228.94,-0.05,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,200min
2024-09-18,HDFCBANK,BUY,839.60,837.81,40,135.80,0.20,LONG,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,40min
2024-09-19,ITC,BUY,433.75,432.52,78,101.34,0.64,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,50min
2024-09-20,HDFCBANK,BUY,861.00,857.79,39,256.80,0.59,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,120min
2024-09-20,ICICIBANK,BUY,1303.50,1297.82,26,249.92,0.19,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,110min
2024-09-23,HDFCBANK,BUY,878.60,875.43,38,56.00,0.68,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,300min
2024-10-07,ITC,BUY,434.80,433.25,78,-120.63,0.41,LONG,STOPLOSS,30min
2024-10-07,TCS,BUY,4283.15,4276.91,7,-43.70,0.52,NEUTRAL,STOPLOSS,5min
2024-10-08,HDFCBANK,BUY,821.50,817.16,41,207.16,0.34,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,265min
2024-10-09,HDFCBANK,BUY,827.80,822.61,41,-212.68,-0.10,NEUTRAL,STOPLOSS,10min
2024-10-11,ITC,SELL,415.00,416.70,81,64.80,0.00,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,295min
2024-10-14,ICICIBANK,BUY,1228.90,1225.88,27,114.55,-0.19,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,125min
2024-10-15,ITC,SELL,419.65,421.16,81,-122.58,0.26,NEUTRAL,STOPLOSS,50min
2024-10-18,ITC,SELL,406.65,408.52,83,-154.83,-0.11,NEUTRAL,STOPLOSS,15min
2024-10-22,ICICIBANK,BUY,1279.95,1271.73,26,-213.66,0.72,NEUTRAL,STOPLOSS,110min
2024-10-22,ITC,BUY,412.05,410.55,82,-123.00,0.11,NEUTRAL,STOPLOSS,5min
2024-10-25,TCS,BUY,4084.45,4070.05,8,-115.24,0.17,NEUTRAL,STOPLOSS,50min
2024-10-30,TCS,BUY,4101.80,4090.74,8,-88.48,-0.12,LONG,STOPLOSS,30min
2024-11-04,TCS,SELL,3948.25,3955.89,8,62.55,-0.42,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,20min
2024-11-11,HDFCBANK,BUY,882.60,879.49,38,235.80,0.15,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,50min
2024-11-11,TCS,BUY,4185.15,4161.95,8,270.51,-0.18,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,130min
2024-11-12,ICICIBANK,BUY,1293.85,1283.60,26,-266.50,0.59,NEUTRAL,STOPLOSS,35min
2024-11-14,ITC,SELL,397.75,398.93,85,152.22,-0.16,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,70min
2024-11-21,ITC,SELL,388.30,389.97,87,-145.03,-1.20,NEUTRAL,STOPLOSS,45min
2024-11-22,ITC,BUY,391.10,388.34,86,-237.04,-0.18,LONG,STOPLOSS,40min
2024-11-22,TCS,BUY,4126.00,4089.87,8,648.00,0.07,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,255min
2024-11-25,ITC,BUY,408.40,405.30,83,-257.30,1.06,NEUTRAL,STOPLOSS,15min
2024-11-28,ICICIBANK,BUY,1308.30,1303.80,25,-112.56,-0.07,NEUTRAL,STOPLOSS,20min
2024-12-04,TCS,BUY,4352.65,4328.64,7,62.50,0.20,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,140min
2024-12-05,ITC,SELL,393.95,395.73,86,-152.72,0.08,NEUTRAL,STOPLOSS,110min
2024-12-11,ICICIBANK,SELL,1316.05,1322.06,25,-150.24,-0.50,NEUTRAL,STOPLOSS,20min
2024-12-13,ITC,SELL,387.10,388.24,87,277.40,-0.19,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,30min
2024-12-17,HDFCBANK,SELL,921.10,926.23,36,-184.63,-0.30,NEUTRAL,STOPLOSS,45min
2024-12-17,TCS,SELL,4370.00,4399.27,7,256.40,-0.14,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,185min
2024-12-24,ITC,BUY,404.05,401.97,84,124.20,0.07,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_EOD,295min
2024-12-24,TCS,BUY,4206.05,4188.85,8,-137.58,0.03,LONG,STOPLOSS,100min
2024-12-26,TCS,SELL,4151.85,4172.14,8,-162.33,-0.06,NEUTRAL,STOPLOSS,100min
2024-12-27,ICICIBANK,BUY,1310.60,1305.65,25,-123.75,0.12,LONG,STOPLOSS,105min
2025-01-01,HDFCBANK,SELL,883.00,885.30,38,-87.57,0.08,NEUTRAL,STOPLOSS,30min
2025-01-01,ICICIBANK,SELL,1268.65,1274.67,26,-156.46,-0.14,NEUTRAL,STOPLOSS,20min
2025-01-02,HEROMOTOCO,BUY,4100.35,4072.75,8,302.96,0.40,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,155min
2025-01-02,MARUTI,BUY,11390.00,11297.40,2,200.00,0.89,NEUTRAL,STAGE1_0.5R+STAGE2_1R,15min
2025-01-03,HDFCBANK,SELL,885.40,890.62,38,219.36,-0.08,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,70min
2025-01-03,ICICIBANK,SELL,1276.10,1281.87,26,156.53,-0.37,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,90min
2025-01-06,ADANIENT,SELL,2444.30,2466.29,13,414.20,-0.17,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,140min
2025-01-06,ICICIBANK,BUY,1274.05,1269.34,26,-122.39,0.19,NEUTRAL,STOPLOSS,40min
2025-01-08,TATACONSUM,SELL,950.80,951.52,35,-25.15,0.00,NEUTRAL,STOPLOSS,5min
2025-01-09,ITC,BUY,442.70,440.41,76,352.10,-0.17,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,35min
2025-01-09,MARUTI,SELL,11721.60,11760.95,2,-78.70,0.27,NEUTRAL,STOPLOSS,5min
2025-01-10,HEROMOTOCO,SELL,4015.75,4037.24,8,70.20,-0.06,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,85min
2025-01-10,ITC,SELL,435.55,437.66,78,-164.80,-0.11,NEUTRAL,STOPLOSS,30min
2025-01-14,HDFCBANK,BUY,826.50,822.50,41,-164.00,0.49,NEUTRAL,STOPLOSS,25min
2025-01-15,ADANIENT,BUY,2335.80,2324.30,14,-161.00,0.71,NEUTRAL,STOPLOSS,15min
2025-01-17,HEROMOTOCO,BUY,4012.30,3982.54,8,-238.07,0.00,NEUTRAL,STOPLOSS,30min
2025-01-17,ICICIBANK,SELL,1226.10,1236.23,27,24.30,-0.77,NEUTRAL,EOD_AUTO_EXIT,315min
2025-01-20,ITC,SELL,427.90,429.17,79,-100.41,-0.14,NEUTRAL,STOPLOSS,35min
2025-01-21,TATACONSUM,BUY,974.10,969.46,34,-157.89,0.11,LONG,STOPLOSS,15min
2025-01-22,DRREDDY,BUY,1307.30,1296.39,26,-283.64,-0.06,LONG,STOPLOSS,85min
2025-01-22,TECHM,BUY,1628.20,1619.10,20,266.21,0.22,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,90min
2025-01-23,TATACONSUM,BUY,972.00,966.15,34,415.70,0.03,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,50min
2025-01-24,HEROMOTOCO,SELL,3978.50,4000.61,8,-176.92,0.25,NEUTRAL,STOPLOSS,115min
2025-01-28,HDFCBANK,BUY,835.00,828.65,40,124.20,1.04,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,285min
2025-01-28,TECHM,SELL,1610.50,1621.47,21,-230.34,0.30,NEUTRAL,STOPLOSS,45min
2025-01-29,MARUTI,BUY,12180.85,12146.45,2,-68.80,0.19,NEUTRAL,STOPLOSS,5min
2025-01-29,TECHM,BUY,1644.80,1635.12,20,-193.64,0.54,NEUTRAL,STOPLOSS,100min
2025-01-30,ADANIENT,BUY,2278.80,2258.71,14,-281.20,0.14,NEUTRAL,STOPLOSS,55min
2025-01-30,HEROMOTOCO,BUY,3999.40,3981.35,8,55.65,0.05,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,75min
2025-01-31,DRREDDY,BUY,1211.65,1203.49,28,106.40,0.50,NEUTRAL,EOD_AUTO_EXIT,325min
2025-01-31,HEROMOTOCO,BUY,4166.60,4122.20,8,540.67,0.07,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,150min
2025-02-01,ITC,SELL,434.85,438.28,78,-267.74,0.07,NEUTRAL,STOPLOSS,100min
2025-02-01,TECHM,SELL,1636.80,1640.09,20,-65.70,-0.07,NEUTRAL,STOPLOSS,70min
2025-02-04,ICICIBANK,BUY,1273.80,1266.94,26,-178.23,0.79,NEUTRAL,STOPLOSS,210min
2025-02-04,TATACONSUM,SELL,1027.15,1035.84,33,-286.72,0.29,NEUTRAL,STOPLOSS,315min
2025-02-06,DRREDDY,BUY,1248.25,1242.80,27,-147.09,0.41,NEUTRAL,STOPLOSS,40min
2025-02-07,ADANIENT,BUY,2260.80,2251.67,15,-137.01,0.15,LONG,STOPLOSS,5min
2025-02-07,HDFCBANK,BUY,879.70,876.90,38,-106.40,0.21,NEUTRAL,STOPLOSS,10min
2025-02-10,TATACONSUM,BUY,1032.65,1027.67,32,-159.33,-0.07,NEUTRAL,STOPLOSS,125min
2025-02-11,ADANIENT,BUY,2311.20,2284.13,14,-379.00,0.94,LONG,STOPLOSS,40min
2025-02-11,HEROMOTOCO,SELL,4053.85,4075.98,8,231.39,-0.12,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,105min
2025-02-12,ADANIENT,SELL,2229.10,2241.99,15,86.40,0.17,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,35min
2025-02-12,MARUTI,SELL,12618.10,12665.10,2,-93.99,-0.07,NEUTRAL,STOPLOSS,15min
2025-02-14,DRREDDY,SELL,1203.30,1212.40,28,320.58,0.06,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,210min
2025-02-14,ITC,BUY,405.60,403.98,83,-134.41,0.42,NEUTRAL,STOPLOSS,45min
2025-02-18,DRREDDY,SELL,1185.75,1195.58,28,-275.28,-0.04,NEUTRAL,STOPLOSS,195min
2025-02-18,MARUTI,BUY,12876.00,12820.83,2,-110.33,0.04,NEUTRAL,STOPLOSS,10min
2025-02-19,ITC,BUY,398.40,397.20,85,57.00,-0.04,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,65min
2025-02-21,HEROMOTOCO,SELL,3844.00,3881.45,8,-56.00,-0.25,NEUTRAL,EOD_AUTO_EXIT,315min
2025-02-21,ITC,SELL,392.05,392.94,86,-76.39,0.01,NEUTRAL,STOPLOSS,20min
2025-02-24,ICICIBANK,SELL,1212.10,1219.42,28,-204.83,-0.43,NEUTRAL,STOPLOSS,135min
